,Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,talk_id
113,11.0,0.0,12.0,12.0,3.0,37.0,11.0,29.0,9.0,64.0,26.0,19.0,4.0,60.0,114.0
114,16.0,44.0,194.0,319.0,384.0,479.0,293.0,149.0,160.0,31.0,17.0,87.0,535.0,88.0,115.0
115,216.0,10.0,6.0,48.0,3.0,0.0,8.0,54.0,19.0,14.0,57.0,10.0,8.0,24.0,116.0
116,16.0,13.0,9.0,54.0,3.0,61.0,44.0,16.0,81.0,17.0,43.0,14.0,4.0,34.0,117.0
117,218.0,29.0,284.0,1265.0,1021.0,1544.0,730.0,1569.0,5137.0,27.0,74.0,21.0,828.0,36.0,118.0
118,62.0,21.0,720.0,437.0,32.0,237.0,172.0,683.0,1507.0,32.0,48.0,54.0,205.0,64.0,119.0
119,67.0,107.0,181.0,763.0,93.0,854.0,327.0,488.0,143.0,167.0,222.0,62.0,1707.0,146.0,120.0
120,30.0,13.0,83.0,553.0,23.0,469.0,303.0,400.0,463.0,26.0,47.0,16.0,235.0,15.0,121.0
121,360.0,54.0,31.0,642.0,50.0,232.0,558.0,416.0,1157.0,125.0,135.0,48.0,28.0,95.0,122.0
122,15.0,50.0,38.0,103.0,7.0,386.0,86.0,40.0,40.0,34.0,83.0,18.0,144.0,94.0,123.0
123,238.0,21.0,37.0,596.0,91.0,218.0,628.0,459.0,1285.0,70.0,90.0,18.0,95.0,51.0,124.0
124,169.0,82.0,43.0,431.0,2460.0,81.0,891.0,92.0,103.0,78.0,238.0,65.0,76.0,151.0,125.0
125,1054.0,52.0,23.0,912.0,65.0,449.0,252.0,397.0,1772.0,149.0,111.0,14.0,31.0,28.0,126.0
126,38.0,10.0,52.0,14.0,440.0,42.0,105.0,96.0,11.0,8.0,74.0,52.0,27.0,44.0,127.0
127,35.0,15.0,254.0,80.0,29.0,249.0,30.0,286.0,53.0,17.0,29.0,10.0,165.0,15.0,128.0
128,26.0,14.0,102.0,39.0,11.0,141.0,28.0,193.0,38.0,32.0,16.0,22.0,1249.0,32.0,129.0
129,236.0,13.0,348.0,216.0,36.0,70.0,310.0,1047.0,136.0,14.0,51.0,14.0,23.0,12.0,130.0
130,6.0,1.0,8.0,33.0,1.0,98.0,31.0,119.0,5.0,16.0,16.0,3.0,34.0,11.0,131.0
131,146.0,3.0,320.0,115.0,5.0,171.0,54.0,810.0,50.0,45.0,65.0,1.0,183.0,29.0,132.0
132,221.0,13.0,133.0,102.0,140.0,83.0,24.0,220.0,42.0,13.0,39.0,14.0,28.0,16.0,133.0
133,87.0,7.0,126.0,89.0,7.0,167.0,47.0,412.0,32.0,19.0,44.0,6.0,140.0,18.0,134.0
134,359.0,5.0,72.0,42.0,17.0,15.0,13.0,207.0,32.0,10.0,18.0,3.0,12.0,5.0,135.0
135,210.0,7.0,10.0,54.0,17.0,4.0,24.0,71.0,35.0,4.0,13.0,0.0,2.0,5.0,136.0
136,52.0,7.0,75.0,91.0,40.0,137.0,37.0,412.0,19.0,42.0,64.0,25.0,83.0,31.0,137.0
137,265.0,24.0,348.0,688.0,26.0,310.0,942.0,1075.0,2080.0,28.0,65.0,25.0,87.0,25.0,138.0
138,195.0,31.0,45.0,518.0,965.0,557.0,243.0,343.0,41.0,83.0,104.0,40.0,206.0,51.0,139.0
139,25.0,9.0,240.0,115.0,52.0,403.0,64.0,251.0,67.0,8.0,38.0,7.0,1020.0,15.0,140.0
140,631.0,77.0,74.0,1289.0,214.0,109.0,1514.0,656.0,2186.0,37.0,100.0,21.0,30.0,67.0,141.0
141,46.0,206.0,13.0,476.0,100.0,956.0,175.0,148.0,29.0,352.0,193.0,24.0,150.0,91.0,142.0
142,48.0,42.0,176.0,731.0,39.0,1314.0,147.0,491.0,109.0,116.0,161.0,94.0,1739.0,242.0,143.0
143,60.0,25.0,338.0,65.0,3.0,145.0,18.0,198.0,69.0,33.0,30.0,23.0,51.0,72.0,144.0
144,55.0,21.0,56.0,349.0,33.0,436.0,24.0,167.0,23.0,31.0,64.0,1.0,46.0,25.0,145.0
145,183.0,145.0,27.0,269.0,643.0,184.0,185.0,403.0,22.0,190.0,155.0,50.0,45.0,168.0,146.0
146,20.0,14.0,79.0,356.0,244.0,460.0,70.0,121.0,97.0,61.0,69.0,19.0,158.0,152.0,147.0
147,31.0,13.0,18.0,140.0,111.0,111.0,165.0,148.0,34.0,70.0,31.0,3.0,13.0,12.0,148.0
148,1224.0,15.0,65.0,1768.0,47.0,880.0,73.0,1166.0,4971.0,61.0,108.0,24.0,78.0,25.0,149.0
149,414.0,67.0,41.0,562.0,307.0,9.0,229.0,125.0,1153.0,73.0,533.0,110.0,13.0,200.0,150.0
150,46.0,7.0,150.0,367.0,230.0,252.0,55.0,700.0,55.0,57.0,72.0,12.0,44.0,33.0,151.0
151,31.0,42.0,27.0,448.0,33.0,278.0,297.0,173.0,106.0,25.0,60.0,11.0,20.0,64.0,152.0
152,138.0,160.0,28.0,121.0,263.0,25.0,49.0,144.0,15.0,118.0,67.0,28.0,7.0,67.0,153.0
153,16.0,128.0,19.0,249.0,26.0,454.0,111.0,211.0,29.0,190.0,154.0,21.0,49.0,166.0,154.0
154,215.0,25.0,77.0,3847.0,673.0,2402.0,1458.0,969.0,1775.0,52.0,107.0,15.0,423.0,31.0,155.0
155,29.0,8.0,137.0,78.0,1.0,222.0,47.0,177.0,31.0,38.0,31.0,3.0,73.0,27.0,156.0
156,308.0,16.0,1417.0,466.0,95.0,453.0,37.0,1286.0,121.0,54.0,44.0,28.0,128.0,39.0,157.0
157,1621.0,109.0,194.0,1170.0,400.0,863.0,106.0,3774.0,139.0,245.0,268.0,28.0,618.0,88.0,158.0
158,91.0,35.0,423.0,589.0,254.0,1014.0,344.0,1074.0,157.0,76.0,89.0,41.0,2163.0,76.0,159.0
159,15.0,65.0,12.0,261.0,34.0,140.0,195.0,64.0,98.0,9.0,40.0,9.0,9.0,23.0,160.0
160,14.0,43.0,262.0,300.0,30.0,680.0,184.0,166.0,77.0,57.0,61.0,43.0,1352.0,129.0,161.0
161,11.0,81.0,79.0,282.0,30.0,551.0,186.0,246.0,63.0,71.0,69.0,37.0,1008.0,115.0,162.0
162,28.0,19.0,56.0,57.0,2.0,171.0,14.0,207.0,28.0,94.0,44.0,9.0,48.0,104.0,163.0
163,78.0,4.0,9.0,513.0,51.0,262.0,310.0,228.0,116.0,13.0,21.0,14.0,26.0,7.0,164.0
164,317.0,45.0,39.0,1137.0,73.0,657.0,412.0,365.0,954.0,19.0,51.0,15.0,102.0,38.0,165.0
165,201.0,276.0,175.0,334.0,855.0,103.0,216.0,711.0,68.0,192.0,129.0,67.0,88.0,165.0,166.0
166,372.0,55.0,42.0,483.0,296.0,509.0,120.0,297.0,50.0,57.0,114.0,13.0,115.0,53.0,167.0
167,10.0,38.0,63.0,221.0,40.0,620.0,254.0,333.0,123.0,45.0,46.0,17.0,375.0,67.0,168.0
168,429.0,168.0,182.0,3710.0,2152.0,340.0,1944.0,817.0,7196.0,114.0,314.0,151.0,128.0,84.0,169.0
169,233.0,39.0,111.0,246.0,38.0,515.0,48.0,830.0,30.0,67.0,140.0,12.0,255.0,59.0,170.0
170,330.0,9.0,82.0,25.0,13.0,12.0,11.0,288.0,5.0,13.0,75.0,18.0,53.0,45.0,171.0
171,78.0,61.0,598.0,371.0,1210.0,960.0,422.0,1035.0,82.0,70.0,378.0,37.0,1414.0,238.0,172.0
172,1148.0,28.0,1696.0,916.0,1302.0,447.0,292.0,3528.0,426.0,58.0,140.0,63.0,899.0,82.0,173.0
173,18.0,16.0,84.0,40.0,1452.0,120.0,114.0,34.0,39.0,34.0,143.0,94.0,44.0,74.0,174.0
174,65.0,16.0,19.0,884.0,41.0,868.0,154.0,120.0,74.0,61.0,114.0,4.0,42.0,10.0,175.0
175,177.0,84.0,92.0,907.0,1512.0,453.0,406.0,1454.0,185.0,150.0,252.0,80.0,140.0,84.0,176.0
176,5201.0,95.0,216.0,8448.0,815.0,3875.0,543.0,1647.0,8328.0,79.0,322.0,126.0,236.0,80.0,177.0
177,59.0,27.0,12.0,82.0,9.0,138.0,29.0,111.0,7.0,68.0,83.0,20.0,41.0,43.0,178.0
178,49.0,30.0,14.0,68.0,100.0,90.0,23.0,127.0,12.0,161.0,139.0,36.0,8.0,45.0,179.0
179,240.0,0.0,29.0,62.0,6.0,3.0,26.0,134.0,71.0,0.0,30.0,0.0,0.0,3.0,180.0
180,280.0,10.0,158.0,122.0,22.0,42.0,63.0,670.0,153.0,46.0,18.0,19.0,108.0,11.0,181.0
181,696.0,42.0,236.0,633.0,167.0,160.0,97.0,1716.0,221.0,92.0,74.0,14.0,212.0,30.0,182.0
182,35.0,18.0,62.0,24.0,604.0,24.0,91.0,23.0,18.0,46.0,166.0,236.0,16.0,76.0,183.0
183,13.0,26.0,59.0,66.0,128.0,27.0,65.0,15.0,21.0,59.0,58.0,52.0,9.0,49.0,184.0
184,45.0,11.0,134.0,44.0,37.0,105.0,23.0,267.0,20.0,18.0,61.0,10.0,109.0,11.0,185.0
185,7.0,57.0,61.0,76.0,6.0,162.0,136.0,114.0,28.0,42.0,88.0,40.0,123.0,157.0,186.0
186,85.0,24.0,82.0,167.0,140.0,189.0,123.0,438.0,39.0,17.0,53.0,4.0,186.0,9.0,187.0
187,210.0,46.0,11.0,120.0,92.0,71.0,109.0,102.0,44.0,124.0,96.0,16.0,13.0,27.0,188.0
188,121.0,22.0,50.0,570.0,67.0,537.0,353.0,635.0,133.0,46.0,70.0,17.0,332.0,52.0,189.0
189,33.0,30.0,32.0,182.0,73.0,308.0,93.0,363.0,45.0,46.0,102.0,10.0,244.0,30.0,190.0
190,667.0,9.0,34.0,529.0,129.0,77.0,142.0,177.0,267.0,22.0,58.0,6.0,11.0,20.0,191.0
191,14.0,5.0,63.0,206.0,202.0,196.0,36.0,24.0,79.0,21.0,50.0,7.0,8.0,19.0,192.0
192,177.0,0.0,16.0,117.0,10.0,75.0,49.0,187.0,29.0,33.0,73.0,12.0,20.0,33.0,193.0
193,80.0,17.0,34.0,24.0,433.0,14.0,49.0,41.0,12.0,31.0,159.0,67.0,7.0,38.0,194.0
194,59.0,6.0,72.0,267.0,1637.0,9.0,116.0,57.0,402.0,56.0,126.0,52.0,14.0,15.0,195.0
195,45.0,1.0,108.0,36.0,0.0,37.0,8.0,183.0,10.0,0.0,33.0,4.0,43.0,12.0,196.0
196,66.0,2.0,25.0,191.0,89.0,80.0,37.0,154.0,70.0,2.0,67.0,9.0,18.0,13.0,197.0
197,330.0,14.0,23.0,357.0,6.0,170.0,112.0,209.0,306.0,35.0,72.0,40.0,26.0,71.0,198.0
198,30.0,63.0,30.0,175.0,20.0,231.0,117.0,238.0,45.0,93.0,130.0,17.0,117.0,45.0,199.0
199,33.0,33.0,71.0,583.0,9.0,402.0,292.0,239.0,680.0,34.0,30.0,14.0,73.0,14.0,200.0
200,14.0,12.0,19.0,177.0,24.0,131.0,86.0,101.0,77.0,51.0,30.0,7.0,26.0,4.0,201.0
201,9437.0,289.0,7842.0,14447.0,966.0,5430.0,1228.0,16918.0,10464.0,398.0,636.0,356.0,1704.0,550.0,202.0
202,19.0,11.0,9.0,31.0,40.0,32.0,16.0,41.0,10.0,76.0,35.0,9.0,10.0,7.0,203.0
203,209.0,11.0,223.0,241.0,480.0,133.0,452.0,1398.0,215.0,24.0,28.0,8.0,301.0,8.0,204.0
204,318.0,26.0,458.0,240.0,15.0,340.0,97.0,1111.0,91.0,50.0,86.0,37.0,528.0,123.0,205.0
205,70.0,0.0,142.0,92.0,7.0,106.0,65.0,396.0,54.0,15.0,17.0,3.0,113.0,3.0,206.0
206,37.0,16.0,11.0,122.0,19.0,181.0,58.0,193.0,30.0,119.0,96.0,25.0,61.0,22.0,207.0
207,29.0,49.0,49.0,679.0,30.0,455.0,251.0,223.0,388.0,10.0,126.0,15.0,96.0,85.0,208.0
208,228.0,278.0,92.0,645.0,1243.0,177.0,432.0,773.0,362.0,126.0,119.0,195.0,65.0,86.0,209.0
209,522.0,14.0,20.0,105.0,0.0,1.0,8.0,113.0,52.0,3.0,71.0,5.0,14.0,6.0,210.0
210,110.0,10.0,35.0,524.0,28.0,307.0,282.0,81.0,197.0,1.0,74.0,7.0,324.0,65.0,211.0
211,32.0,5.0,5.0,77.0,8.0,124.0,6.0,41.0,8.0,0.0,44.0,10.0,10.0,7.0,212.0
212,132.0,111.0,15.0,53.0,1.0,17.0,44.0,59.0,24.0,42.0,170.0,70.0,8.0,224.0,213.0
213,209.0,41.0,305.0,1070.0,69.0,716.0,254.0,775.0,304.0,47.0,141.0,48.0,199.0,86.0,214.0
214,68.0,74.0,653.0,340.0,58.0,1055.0,87.0,1435.0,534.0,120.0,137.0,210.0,1175.0,288.0,215.0
215,159.0,15.0,89.0,1684.0,132.0,843.0,3249.0,1338.0,2368.0,8.0,80.0,14.0,159.0,9.0,216.0
216,204.0,16.0,87.0,168.0,1.0,52.0,109.0,240.0,142.0,20.0,31.0,37.0,16.0,38.0,217.0
217,27.0,24.0,35.0,258.0,7.0,555.0,93.0,268.0,69.0,40.0,105.0,3.0,285.0,29.0,218.0
218,20.0,1.0,112.0,53.0,0.0,105.0,56.0,177.0,23.0,4.0,14.0,0.0,123.0,10.0,219.0
219,416.0,204.0,157.0,444.0,560.0,304.0,172.0,752.0,59.0,273.0,298.0,43.0,106.0,148.0,220.0
